Date,max_temperaturef,mean_temperaturef,min_temperaturef,max_dew_pointf,meandew_pointf,min_dewpointf,max_humidity,mean_humidity,min_humidity,max_sea_level_pressurein,mean_sea_level_pressurein,min_sea_level_pressurein,max_visibilitymiles,mean_visibilitymiles,min_visibilitymiles,max_wind_speedmph,mean_wind_speedmph,max_gust_speedmph,precipitationin,cloudcover,events,winddirdegrees,location
8/16/2015,82,76,69,71,68,65,93,80,67,30.01,29.95,29.86,10,8,2,14,9,22,0.51,7,Rain-Thunderstorm,274,MSP
8/17/2015,74,69,63,64,58,55,84,69,53,30.06,30.01,29.97,10,10,7,12,8,22,0.08,7,Rain,7,MSP
8/18/2015,67,65,63,64,62,55,93,83,73,29.98,29.71,29.53,10,8,2,17,10,22,0.92,8,Rain-Thunderstorm,63,MSP
8/19/2015,65,61,56,63,57,51,93,83,73,29.71,29.54,29.46,10,9,4,25,10,30,0.1,8,Rain,267,MSP
8/20/2015,74,64,53,51,48,46,83,61,38,29.93,29.83,29.72,10,10,10,22,11,28,0,3,,284,MSP
8/21/2015,81,70,59,62,57,51,78,64,50,29.92,29.86,29.82,10,10,10,20,10,28,0,5,,164,MSP
8/22/2015,82,73,63,70,64,52,82,72,62,29.86,29.76,29.67,10,9,1,35,18,47,0.59,7,Rain-Thunderstorm,179,MSP
8/23/2015,70,64,57,53,49,46,80,63,45,29.92,29.81,29.7,10,10,8,27,18,38,T,6,,257,MSP
8/24/2015,67,61,54,48,45,42,77,60,42,30.05,29.98,29.91,10,10,10,28,15,37,0,6,,300,MSP
8/25/2015,74,64,53,51,47,45,80,59,38,30.13,30.09,30.04,10,10,10,18,11,31,0,2,,307,MSP
8/26/2015,75,63,51,55,52,49,96,69,41,30.21,30.15,30.1,10,10,10,9,4,12,0,1,,145,MSP
8/27/2015,76,68,59,60,56,53,80,67,53,30.12,30.06,29.99,10,10,10,17,8,21,0,6,,151,MSP
8/28/2015,76,68,59,64,60,55,87,76,64,30.04,30,29.98,10,10,7,20,8,27,T,6,,141,MSP
8/29/2015,74,65,56,64,58,54,93,79,64,30.08,30.05,30,10,8,1,10,5,14,0,6,,132,MSP
8/30/2015,81,72,62,66,62,59,100,77,54,30.01,29.97,29.91,10,8,4,15,9,19,0,5,,175,MSP
8/31/2015,86,75,63,70,67,62,100,80,59,29.94,29.91,29.87,10,8,4,20,9,27,0,5,,168,MSP
9/1/2015,86,78,69,73,70,66,90,76,61,29.91,29.89,29.86,10,8,5,12,6,15,0,6,,173,MSP
9/2/2015,78,74,69,73,68,66,97,86,74,29.94,29.9,29.85,10,7,4,21,8,27,0.23,7,Rain-Thunderstorm,99,MSP
